-93.94	51.13
-93.86	51.18
-93.17	50.96
-93.14	50.99
-92.89	51.12
-91.11	49.97
-91.12	49.99
-89.65	49.21
-89.65	49.22
-75.72	45.4
-89.49	48.29
-89.63	48.31
-85.9	49.17
-85.9	49.23
-98.26	55.53
-97.64	56.01
-97.95	55.71
-101.11	56.94
-101.22	56.96
-63.59	44.64
-98.16	55.51
-98.27	55.51
-98.26	55.57
-74.02	45.82
-74.01	45.82
-72.25	48.53
-130.01	58.65
-130.85	57.89
-94.07	48.85
-94.13	48.97
-93.8	49.37
-93.75	49.38
-94.15	48.94
-92.75	49.82
-92.7	49.83
-80.94	49.1
-94.7	50.38
-94.71	50.39
-89.03	49.12
-98.23	55.51
-98.27	55.54
-82.38	49.42
-83.53	49.69
-83.54	49.69
-86.98	48.86
-89.6	51.83
-89.6	51.83
-90.48	50.71
-90.48	50.71
-91.37	49.77
-66	43.76
-66	43.76
-89.14	50.18
-93.85	51.14
-92.08	49.48
-92.2	48.66
-91.37	49.06
-91.36	49.14
-90.79	48.6
-90.78	48.63
-88.09	50.52
-88.1	50.51
-87.97	50.52
-89.23	49.77
-89.14	50.18
-88.93	49.2
-87.95	48.95
-81.44	48.74
-81.44	48.74
-80.87	46.66
-76.06	45.01
-63.48	44.92
-63.45	46.27
-77.24	43.86
-63.45	45.78
-114.42	62.51
-81.3	46.65
-81.39	46.63
-81.43	46.61
-81.44	46.38
-81.39	46.41
-81.08	46.52
-81.32	46.43
-81.16	46.55
-81.34	46.65
-74.35	49.88
-117.19	49.15
-116.86	49.76
-121.56	52.63
-121.56	52.63
-94.2	51
-85.85	49.18
-85.81	49.19
-85.85	49.19
-85.81	49.18
-85.85	49.18
-85.85	49.18
-64.68	48.86
-65.53	48.95
-65.53	48.95
-65.53	48.95
-115.89	49.69
-115.94	49.68
-116	49.72
-56	48
-126.69	56.6
-126.69	56.6
-91	49.88
-90.88	49.88
-120.47	50.65
-85.9	50.1
-77.43	46.05
-77.43	46.05
-102.04	54.64
-101.88	54.78
-99.97	54.89
-97.77	55.73
-66.67	46.93
-66.68	45.68
-95.85	50.25
-101.1	56.8
-100.95	56.9
-101.65	56.63
-56.05	49.91
-56.05	49.91
-56.08	49.9
-78.44	48.65
-119.81	51.52
-119.81	51.52
-125.61	49.58
-69.46	47.61
-120.51	50.66
-124.43	54.63
-124.43	54.63
-133.75	60.99
-133.75	60.99
-133.75	60.99
-129.22	62.47
-127.33	60.35
-95.44	50.43
-95.42	50.42
-95.41	50.42
-95.45	50.42
-62.6	45.54
-62.63	45.63
-65.25	45.73
-66.3	47.56
-57.38	49.29
-65.88	47.72
-82.43	48.3
-82.43	48.3
-82.43	48.3
-82.41	47.94
-82.41	47.94
-77.74	49.71
-77.64	49.78
-106.96	50.92
-107	50.95
-106.86	50.88
-106.9	50.9
-100.55	49.03
-72.95	46.49
-79.1	48.28
-79.09	48.28
-77.56	48.1
-77.56	48.1
-65.96	48.83
-66.02	48.82
-66.13	48.8
-66.15	48.79
-75.85	49.6
-75.87	49.62
-74.81	49.79
-74.81	49.8
-77.73	49.72
-77.73	49.71
-77.74	49.72
-78.71	47.4
-78.71	47.4
-78.71	47.4
-78.71	47.4
-77.45	44.5
-77.79	44.53
-78.72	43.87
-78.5	44.86
-77.72	44.87
-77.72	44.87
-77.18	44.72
-77.18	44.72
-81.07	46.44
-81.05	46.43
-81.05	46.43
-72.77	49.47
-77.53	48.06
-74.17	49.89
-74.17	49.9
-74.33	49.88
-74.33	49.88
-70.09	47.7
-77.58	48.13
-77.6	48.14
-78.44	48.25
-80.28	48.51
-79.72	48.52
-79.72	48.52
-79.72	48.52
-76.65	49.24
-76.65	49.24
